id,dataPath,caption,chartType,xAxis,yAxis,URL
15,/content/gdrive/My Drive/Pew3/15.csv,"When Pew Research Center began systematically tracking Americans’ internet usage in early 2000, about half of all adults were already online. Today, nine-in-ten American adults use the internet.",line,year,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheet/internet-broadband/', text='Internet/Broadband Fact Sheet', fragment='', nofollow=False)"
16,/content/gdrive/My Drive/Pew3/16.csv,"For some demographic groups – such as young adults, college graduates and those from high-income households – internet usage is near ubiquitous. Even so, adoption gaps remain based on factors such as age, income, education and community type.",line,year,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheet/internet-broadband/', text='Internet/Broadband Fact Sheet', fragment='', nofollow=False)"
17,/content/gdrive/My Drive/Pew3/17.csv,"When Pew Research Center began tracking social media adoption in 2005, just 5% of American adults used at least one of these platforms. By 2011 that share had risen to half of all Americans, and today 72% of the public uses some type of social media.",bar,unnamed: 0,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheet/social-media/', text='Social Media Fact Sheet', fragment='', nofollow=False)"
18,/content/gdrive/My Drive/Pew3/18.csv,"As more Americans have adopted social media, the social media user base has also grown more representative of the broader population. Young adults were among the earliest social media adopters and continue to use these sites at high levels, but usage by older adults has increased in recent years.",bar,unnamed: 0,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheet/social-media/', text='Social Media Fact Sheet', fragment='', nofollow=False)"
19,/content/gdrive/My Drive/Pew3/19.csv,"Revenue from retransmission fees – the fees paid by cable and satellite systems to carry local channels – has been increasing rapidly in the past decade, according to estimates from Kagan, a media research group in S&P Global Market Intelligence. In 2018, retransmission revenue reached almost $10.2 billion, up from $9.4 billion in 2017; Kagan projects that this figure will reach $12.2 billion by 2023.",line,year,revenue,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
20,/content/gdrive/My Drive/Pew3/20.csv,"Six major publicly held local TV station companies – Tribune, Nexstar, Sinclair, Tegna, Gray and Scripps – report political advertising revenue separately from other types of revenues in their Securities and Exchange Commission filings. In 2018, the six companies reported a total of $1.2 billion in political advertising revenue, compared with $843 million in 2016 and $696 million in 2014, the two most recent election years. (Data points for 2012 to 2016 also include Media General, which was purchased by Nexstar in 2017.)",line,year,revenue,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
21,/content/gdrive/My Drive/Pew3/21.csv,"Six major publicly held local TV station companies – Tribune, Nexstar, Sinclair, Tegna, Gray and Scripps – report political advertising revenue separately from other types of revenues in their Securities and Exchange Commission filings. In 2018, the six companies reported a total of $1.2 billion in political advertising revenue, compared with $843 million in 2016 and $696 million in 2014, the two most recent election years. (Data points for 2012 to 2016 also include Media General, which was purchased by Nexstar in 2017.)",line,year,revenue,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
22,/content/gdrive/My Drive/Pew3/22.csv,"Roughly 29,000 employees worked as reporters, editors, photographers or film and video editors in broadcast TV newsrooms in 2018, according to data from the Bureau of Labor Statistics’ Occupational Employment Statistics. Median wages for editors in 2018 were about $57,000, while for reporters the figure was about $55,000. For film and video editors and camera operators, the median wage was about $50,000. Photographers had a median wage of about $46,000. (Broadcast TV newsroom employment and wage data includes both national and local TV broadcasters. For details, see the methodology.)",line,year,revenue,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
23,/content/gdrive/My Drive/Pew3/23.csv,"The average amount of weekday local TV news programming was increased slightly in 2018, according to the RTDNA/Hofstra University survey. Local TV stations dedicated an average of 5.9 hours to news programming per weekday in 2018, up slightly from 5.6 hours in 2017.",line,year,hours,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
24,/content/gdrive/My Drive/Pew3/24.csv,"In 2018, 144 local TV stations changed hands at a cost of $8.8 billion, as annually reported by BIA Advisory Services. This is up from $4.7 billion across 107 stations that experienced changes in ownership in 2017.)",line,year,hours,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
25,/content/gdrive/My Drive/Pew3/25.csv,"In 2018, 144 local TV stations changed hands at a cost of $8.8 billion, as annually reported by BIA Advisory Services. This is up from $4.7 billion across 107 stations that experienced changes in ownership in 2017.)",line,year,revenue,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
26,/content/gdrive/My Drive/Pew3/26.csv,"This fact sheet was compiled by Associate Director Katerina Eva Matsa and Sophia Fedeli, who was a Research Assistant at Pew Research Center in 2018 and 2019.",line,year,revenue,"Link(url='https://www.journalism.org/fact-sheet/local-tv-news/', text='Local TV News Fact Sheet', fragment='', nofollow=False)"
27,/content/gdrive/My Drive/Pew3/27.csv,"Univision’s total revenue remained steady at slightly less than $3 billion in 2018. (Telemundo’s revenue is not available for analysis, as its parent company, Comcast, does not provide network-specific revenue.)",line,year,total revenue,"Link(url='https://www.journalism.org/fact-sheet/hispanic-and-black-news-media/', text='Hispanic and Black News Media Fact Sheet', fragment='', nofollow=False)"
28,/content/gdrive/My Drive/Pew3/28.csv,"Univision’s total revenue remained steady at slightly less than $3 billion in 2018. (Telemundo’s revenue is not available for analysis, as its parent company, Comcast, does not provide network-specific revenue.)",line,year,total revenue,"Link(url='https://www.journalism.org/fact-sheet/hispanic-and-african-american-news-media/', text='Hispanic and African American News Media Fact Sheet', fragment='', nofollow=False)"
29,/content/gdrive/My Drive/Pew3/29.csv,"The top 20 NPR-affiliated public radio stations (by listenership) had on average a total weekly listenership of about 11 million in 2018, about the same as in 2017. (This includes listeners of NPR programming as well as original or other syndicated content aired on these stations.)",line,year,listenership,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
30,/content/gdrive/My Drive/Pew3/30.csv,"When looking specifically at NPR programming across all stations that carry it, terrestrial broadcast listenership declined somewhat between 2017 and 2018. (Traditional radio listening is “terrestrial,” i.e., coming from radio broadcast towers rather than satellites or the internet.) About 28.5 million average weekly listeners tuned in to NPR programming during the year, down from 30.1 million in 2017, according to internal data provided by the organization.",line,year,listenership,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
31,/content/gdrive/My Drive/Pew3/31.csv,"The audience for public television programming declined over the past year: In 2018, the NewsHour program, which airs on PBS, attracted 1.1 million viewers on average, down 6% from the year before.",line,year,total average viewership,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
32,/content/gdrive/My Drive/Pew3/32.csv,The financial picture for news outlets in public broadcasting appeared strong both locally and nationally.,line,year,total average viewership,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
33,/content/gdrive/My Drive/Pew3/33.csv,"At the local public radio level, an analysis of the public filings provided by 123 of the largest news-oriented licensees (organizations that operate local public radio stations) shows that in 2017 – the last year for which reliable data is available – total revenue for this group was $904.7 million.",line,year,total revenue,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
34,/content/gdrive/My Drive/Pew3/34.csv,"This revenue for local public radio comes from a range of streams, but individual giving (which includes member revenue and major gifts) and underwriting (from businesses and foundations as well as other nonprofit organizations) are two key sources of funding. Among the 123 news-oriented licensees studied here, individual giving and underwriting accounted for a combined $595.5 million in revenue in 2017.",line,year,total revenue,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
35,/content/gdrive/My Drive/Pew3/35.csv,"The total number of individual members – defined as anyone who has given money to one of the stations owned by these 123 licensees in each calendar year – in 2017 was 2.3 million, about a 10% increase over the previous year.",line,year,total membership,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
36,/content/gdrive/My Drive/Pew3/36.csv,"On the television side, NewsHour derives its revenue from a variety of sources, including PBS, the Corporation for Public Broadcasting (CPB) and a mix of “nonpublic” streams such as corporations, individual giving and foundations. While the details about public sources of revenue were unavailable for this analysis, NewsHour did provide information about its breakdown of nonpublic funding. In 2018, contributions from individuals comprised 13% of total nonpublic funding. (Information on whether the total amount of this funding rose or fell was also unavailable.)",line,year,total membership,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
37,/content/gdrive/My Drive/Pew3/37.csv,"Program and production expenses for the 123 news-oriented local public radio licensees was $446.8 million in 2017, compared with $439.6 million in 2016. While program and production expenses comprise only a portion of overall station expenses, an increase in these kinds of expenditures indicates that the stations are directing more dollars toward the creation of news content.",line,year,total program and production expenses,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
38,/content/gdrive/My Drive/Pew3/38.csv,This fact sheet was compiled by Senior Writer/Editor Elizabeth Grieco.,line,year,total program and production expenses,"Link(url='https://www.journalism.org/2019/07/23/public-broadcasting-fact-sheet-2/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
39,/content/gdrive/My Drive/Pew3/39.csv,"The top 20 NPR-affiliated public radio stations (by listenership) had on average a total weekly listenership of about 11 million in 2018, about the same as in 2017. (This includes listeners of NPR programming as well as original or other syndicated content aired on these stations.)",line,year,listenership,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
40,/content/gdrive/My Drive/Pew3/40.csv,"When looking specifically at NPR programming across all stations that carry it, terrestrial broadcast listenership declined somewhat between 2017 and 2018. (Traditional radio listening is “terrestrial,” i.e., coming from radio broadcast towers rather than satellites or the internet.) About 28.5 million average weekly listeners tuned in to NPR programming during the year, down from 30.1 million in 2017, according to internal data provided by the organization.",line,year,listenership,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
41,/content/gdrive/My Drive/Pew3/41.csv,"The audience for public television programming declined over the past year: In 2018, the NewsHour program, which airs on PBS, attracted 1.1 million viewers on average, down 6% from the year before.",line,year,total average viewership,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
42,/content/gdrive/My Drive/Pew3/42.csv,The financial picture for news outlets in public broadcasting appeared strong both locally and nationally.,line,year,total average viewership,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
43,/content/gdrive/My Drive/Pew3/43.csv,"At the local public radio level, an analysis of the public filings provided by 123 of the largest news-oriented licensees (organizations that operate local public radio stations) shows that in 2017 – the last year for which reliable data is available – total revenue for this group was $904.7 million.",line,year,total revenue,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
44,/content/gdrive/My Drive/Pew3/44.csv,"This revenue for local public radio comes from a range of streams, but individual giving (which includes member revenue and major gifts) and underwriting (from businesses and foundations as well as other nonprofit organizations) are two key sources of funding. Among the 123 news-oriented licensees studied here, individual giving and underwriting accounted for a combined $595.5 million in revenue in 2017.",line,year,total revenue,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
45,/content/gdrive/My Drive/Pew3/45.csv,"The total number of individual members – defined as anyone who has given money to one of the stations owned by these 123 licensees in each calendar year – in 2017 was 2.3 million, about a 10% increase over the previous year.",line,year,total membership,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
46,/content/gdrive/My Drive/Pew3/46.csv,"On the television side, NewsHour derives its revenue from a variety of sources, including PBS, the Corporation for Public Broadcasting (CPB) and a mix of “nonpublic” streams such as corporations, individual giving and foundations. While the details about public sources of revenue were unavailable for this analysis, NewsHour did provide information about its breakdown of nonpublic funding. In 2018, contributions from individuals comprised 13% of total nonpublic funding. (Information on whether the total amount of this funding rose or fell was also unavailable.)",line,year,total membership,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
47,/content/gdrive/My Drive/Pew3/47.csv,"Program and production expenses for the 123 news-oriented local public radio licensees was $446.8 million in 2017, compared with $439.6 million in 2016. While program and production expenses comprise only a portion of overall station expenses, an increase in these kinds of expenditures indicates that the stations are directing more dollars toward the creation of news content.",line,year,total program and production expenses,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
48,/content/gdrive/My Drive/Pew3/48.csv,This fact sheet was compiled by Senior Writer/Editor Elizabeth Grieco.,line,year,total program and production expenses,"Link(url='https://www.journalism.org/fact-sheet/public-broadcasting/', text='Public Broadcasting Fact Sheet', fragment='', nofollow=False)"
49,/content/gdrive/My Drive/Pew3/49.csv,"Note: This and most data on the radio sector apply to all types of listening and do not break out news, except where noted. Nielsen lists news/talk among the most-listened-to radio formats; in 2018, the news/talk format earned 10% of radio audiences during the average 15-minute period during the day.",line,year,listen to terrestrial radio,"Link(url='https://www.journalism.org/fact-sheet/audio-and-podcasting/', text='Audio and Podcasting Fact Sheet', fragment='', nofollow=False)"
50,/content/gdrive/My Drive/Pew3/50.csv,"According to “The Infinite Dial” report by Edison Research and Triton Digital, the share of the public listening to online radio continues to grow. As of early 2019, 67% of Americans ages 12 and older had listened to online radio in the past month, while 60% had listened in the past week. This is up slightly from 64% and 57%, respectively, in 2018, continuing online radio’s steady year-over-year growth.",line,year,listen to terrestrial radio,"Link(url='https://www.journalism.org/fact-sheet/audio-and-podcasting/', text='Audio and Podcasting Fact Sheet', fragment='', nofollow=False)"
51,/content/gdrive/My Drive/Pew3/51.csv,"Online radio listening in cars, such as listening to AM/FM stations online or streaming other online audio, remained steady after years of increase. In 2019, 41% of Americans ages 12 and older have ever listened to online radio in a car using a phone, up from just 5% in 2010.",line,year,listen to online radio in a car using a cellphone,"Link(url='https://www.journalism.org/fact-sheet/audio-and-podcasting/', text='Audio and Podcasting Fact Sheet', fragment='', nofollow=False)"
52,/content/gdrive/My Drive/Pew3/52.csv,"The percentage of Americans who have listened to a podcast has also substantially increased over the last decade. As of 2019, 51% of Americans ages 12 or older have ever listened to a podcast, according to Edison Research and Triton Digital survey data, and 32% have listened to a podcast in the past month, up from 26% in 2018 and just 9% in 2008. Furthermore, 22% of those 12 and older said they have listened to a podcast in the last week, up from 7% when this was first measured in 2013. (The data in this chart, as well as in the subsequent chart about podcasts, is for all types of listening and do not break out news programs.)",line,year,listen to online radio in a car using a cellphone,"Link(url='https://www.journalism.org/fact-sheet/audio-and-podcasting/', text='Audio and Podcasting Fact Sheet', fragment='', nofollow=False)"
53,/content/gdrive/My Drive/Pew3/53.csv,"The addition of these figures would also change the overall picture for combined print and digital circulation. The digital boost driven by these two large, national brands would still result in an overall drop in circulation year over year, but a smaller one: Overall weekday circulation would have fallen by 1% in 2018 rather than 8%.",line,year,average monthly unique visitors,"Link(url='https://www.journalism.org/fact-sheet/newspapers/', text='Newspapers Fact Sheet', fragment='', nofollow=False)"
54,/content/gdrive/My Drive/Pew3/54.csv,"Gauging digital audience for the entire newspaper industry is difficult since many daily newspapers do not receive enough traffic to their websites to be measured by Comscore, the data source relied on here. Thus, the figures offered above reflect the top 50 U.S. daily newspapers based on circulation. In the fourth quarter of 2018, there was an average of 11.6 million monthly unique visitors (across all devices) for these top 50 newspapers. This is nearly the same as in Q4 2017 (11.5 million) and 2016 (11.7 million); following two years of growth from 2014 to 2016, newspapers’ website traffic has leveled off. (The list of top 50 papers is based on Sunday circulation but also includes The Wall Street Journal, which does not report Sunday circulation to AAM. It also includes The Washington Post and The New York Times, which make the top 50 even though they do not fully report their digital circulation to AAM. For more details and the full list of newspapers, see our methodology.)",line,year,average monthly unique visitors,"Link(url='https://www.journalism.org/fact-sheet/newspapers/', text='Newspapers Fact Sheet', fragment='', nofollow=False)"
55,/content/gdrive/My Drive/Pew3/55.csv,"Gauging digital audience for the entire newspaper industry is difficult since many daily newspapers do not receive enough traffic to their websites to be measured by Comscore, the data source relied on here. Thus, the figures offered above reflect the top 50 U.S. daily newspapers based on circulation. In the fourth quarter of 2018, there was an average of 11.6 million monthly unique visitors (across all devices) for these top 50 newspapers. This is nearly the same as in Q4 2017 (11.5 million) and 2016 (11.7 million); following two years of growth from 2014 to 2016, newspapers’ website traffic has leveled off. (The list of top 50 papers is based on Sunday circulation but also includes The Wall Street Journal, which does not report Sunday circulation to AAM. It also includes The Washington Post and The New York Times, which make the top 50 even though they do not fully report their digital circulation to AAM. For more details and the full list of newspapers, see our methodology.)",line,year,average minutes per visit,"Link(url='https://www.journalism.org/fact-sheet/newspapers/', text='Newspapers Fact Sheet', fragment='', nofollow=False)"
56,/content/gdrive/My Drive/Pew3/56.csv,"Average minutes per visit for the top 50 U.S. daily newspapers, based on circulation, is about 2 1/3 minutes in Q4 2018. This is down 5% from Q4 2017.",line,year,average minutes per visit,"Link(url='https://www.journalism.org/fact-sheet/newspapers/', text='Newspapers Fact Sheet', fragment='', nofollow=False)"
57,/content/gdrive/My Drive/Pew3/57.csv,"In the chart above, data through 2012 comes from the trade group formerly known as the Newspaper Association of America (NAA), now known as the News Media Alliance (NMA). Data from 2013 onward is based on the Center’s analysis of financial statements from publicly traded U.S. newspaper companies, which now number seven and account for more than 300 U.S. daily newspapers, from large national papers to midsize metro dailies and local papers. From 2013 onward, the year-over-year percentage change in advertising and circulation revenue for these companies is calculated and then applied to the previous year’s revenue totals as reported by the NMA/NAA. In testing this method, changes from 2006 through 2012 generally matched those as reported by the NMA/NAA; for more details, see our 2016 report.",line,year,advertising revenue coming from digital advertising,"Link(url='https://www.journalism.org/fact-sheet/newspapers/', text='Newspapers Fact Sheet', fragment='', nofollow=False)"
58,/content/gdrive/My Drive/Pew3/58.csv,"Digital advertising accounted for 35% of newspaper advertising revenue in 2018, based on this analysis of publicly traded newspaper companies. The portion stood at 31% in 2017 – but at 17% in 2011, the first year it was possible to perform this analysis.",line,year,advertising revenue coming from digital advertising,"Link(url='https://www.journalism.org/fact-sheet/newspapers/', text='Newspapers Fact Sheet', fragment='', nofollow=False)"
59,/content/gdrive/My Drive/Pew3/59.csv,"A growing share of Americans now use smartphones as their primary means of online access at home. Today roughly one-in-five American adults are “smartphone-only” internet users – meaning they own a smartphone, but do not have traditional home broadband service.",bar,unnamed: 0,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheets/mobile/', text='Mobile Fact Sheet', fragment='', nofollow=False)"
60,/content/gdrive/My Drive/Pew3/60.csv,"Reliance on smartphones for online access is especially common among younger adults, non-whites and lower-income Americans.",bar,unnamed: 0,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheets/mobile/', text='Mobile Fact Sheet', fragment='', nofollow=False)"
61,/content/gdrive/My Drive/Pew3/61.csv,"When Pew Research Center began systematically tracking Americans’ internet usage in early 2000, about half of all adults were already online. Today, nine-in-ten American adults use the internet.",line,year,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheets/internet-broadband/', text='Internet/Broadband Fact Sheet', fragment='', nofollow=False)"
62,/content/gdrive/My Drive/Pew3/62.csv,"For some demographic groups – such as young adults, college graduates and those from high-income households – internet usage is near ubiquitous. Even so, adoption gaps remain based on factors such as age, income, education and community type.",line,year,u.s. adults,"Link(url='https://www.pewresearch.org/internet/fact-sheets/internet-broadband/', text='Internet/Broadband Fact Sheet', fragment='', nofollow=False)"
63,/content/gdrive/My Drive/Pew3/63.csv, ,line,year,u.s. hispanic population,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
64,/content/gdrive/My Drive/Pew3/64.csv, ,line,year,u.s. hispanic population,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
65,/content/gdrive/My Drive/Pew3/65.csv, ,bar,state,share of total u.s. hispanic population,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
66,/content/gdrive/My Drive/Pew3/66.csv, ,bar,state,share of total u.s. hispanic population,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
67,/content/gdrive/My Drive/Pew3/67.csv, ,bar,metro area,u.s. hispanic population,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
68,/content/gdrive/My Drive/Pew3/68.csv, ,bar,metro area,u.s. hispanic population,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
69,/content/gdrive/My Drive/Pew3/69.csv, ,bar,group,english proficient,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
70,/content/gdrive/My Drive/Pew3/70.csv, ,bar,group,english proficient,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
71,/content/gdrive/My Drive/Pew3/71.csv, ,bar,group,share in poverty,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
72,/content/gdrive/My Drive/Pew3/72.csv, ,bar,group,share in poverty,"Link(url='https://www.pewresearch.org/hispanic/fact-sheet/latinos-in-the-u-s-fact-sheet/', text='Facts on Latinos in the U.S.', fragment='', nofollow=False)"
