Game (network) (week),Rating,Viewers (in millions)
Patriots vs. Broncoes (NBC) (week 10),10.2,17.51
"Seahawks vs. Cardinals (NBC, NFLN, Amazon) (week 10)",7.9,13.1
Vikings vs. Redskins (FOX) (week 10),7.4,12.35
Various (CBS) (week 10),7.2,11.83
Dolphins vs. Panthers (ESPN) (week 10),5.4,8.76
Cowboys vs. Eagles (NBC) (week 11),11.9,21.06
Patriots vs. Raiders (CBS) (week 11),10.9,19.03
Redskins vs. Saints (FOX) (week 11),9.4,15.71
"Titans vs. Steelers (NBC, NFLN, Amazon) (week 11)",8.2,13.51
Falcons vs. Seahawks (ESPN) (week 11),6.4,10.76
Chiefs vs. Giants (CBS) (week 11),6.5,10.71
Chargers vs. Cowboys (CBS) (week 12),11.1,26.3
Vikings vs. Lions (FOX) (week 12),11.4,24.74
Saints vs. Rams (CBS) (week 12),11.6,19.9
Packers vs. Steelers (NBC) (week 12),11,18.95
Giants vs. Redskins (NBC) (week 12),-,16.91
Bears vs. Eagles (FOX) (week 12),8.9,15.36
Various (CBS) (week 12),6.5,10.91
Texans vs. Ravens (ESPN) (week 12),5.1,8.27
Panthers vs. Saints (FOX) (week 13),12,20.22
Eagles vs. Seahawks (NBC) (week 13),11.3,19.69
"Redskins vs. Cowboys (NBC, NFLN, Amazon) (week 13)",9.4,15.6
Various (CBS) (week 13),9.1,15.13
Vikings vs. Falcons (FOX) (week 13),6.8,11.17
Steelers vs. Bengals (ESPN) (week 13),6.7,10.84
Eagles vs. Rams (FOX) (week 14),13.7,23.78
Ravens vs. Steelers (NBC) (week 14),10.1,17.2
Cowboys vs. Giants (FOX) (week 14),9.1,15.54
"Saints vs. Falcons (NBC, NFLN, Amazon) (week 14)",8.9,14.61
Various (CBS) (week 14),8.15,13.89
Patriots vs. Dolphins (ESPN) (week 14),7.2,11.78
Patriots vs. Steelers (CBS) (week 15),15.2,26.88
Cowboys vs. Raiders (NBC) (week 15),11.1,19.19
Packers vs. Panthers (FOX) (week 15),10.6,18.05
"Broncos vs. Colts (NBC, NFLN, Amazon) (week 15)",6.5,10.64
Various (CBS) (week 15),6,9.91
Falcons vs. Buccaneers (ESPN) (week 15),5.7,9.41
Chargers vs. Chiegs (NFLN) (week 15),4,6.99
Bears vs. Lions (NFLN) (week 15),3.1,5.18
Seahawks vs. Cowboys (FOX) (week 16),12.2,23.03
"Steelers vs. Texans (NBC, NFLN, Amazon) (week 16)",8,16.92
Patriots vs. Bills (CBS) (week 16),8.9,15.81
Vikings vs. Packers (NBC) (week 16),8.4,15.29
Falcons vs. Saints (FOX) (week 16),6.9,12.41
Raiders vs. Eagles (ESPN) (week 16),5.9,11.74
Colts vs. Ravens (NFLN) (week 16),3.1,5.4
Panthers vs. Falcons (FOX) (week 17),11.45,20.78
Bengals vs. Ravens (CBS) (week 17),8.7,15.6
Bears vs. Vikings (FOX) (week 17),7.9,13.59
Various (CBS) (week 17),6.6,11.21
Panthers vs. Saints (FOX) (Wild Card),17.5,31.15
Bills vs. Jaguars (CBS) (Wild Card),15.15,25.3
Falcons vs. Rams (NBC) (Wild Card),12.8,22.82
"Titans vs. Chiefs (ESPN, ABC) (Wild Card)",13,22.18
Saints vs. Vikings (FOX) (Divisional Round),19.3,35.65
Jaguars vs. Steelers (CBS) (Divisional Round),18.3,31.45
Falcons vs. Eagles (NBC) (Divisional Round),15.5,27.07
Titans vs. Patriots (CBS) (Divisional Round),14.5,26.69
Jaguars vs. Patriots (CBS) (Conference Championship),24.3,44.08
Vikings vs. Eagles (FOX) (Conference Championship),21.7,42.3
Eagles vs. Patriots (NBC) (Super Bowl),43.1,103.4
